plaintext, ciphertext
XZRHDDCGYPOZQKSMGCYMJPBJOSKQRGTZNFOYNSFLFNVSOKFGYZAJ, JLDTPPOSKBALCWEYSOKYVBNVAEWCDSFLZRAKZERXRZHEAWRSKLMV
HNMDDEBPIGIPEHTUEGJRJWJPMFVAYOAWBMMCHPTHTPEFFMFYUZDTWQFPWYGDNMTXVIIBQDVPJUOQMEQAJIMYQBNPLSIIXFVHMEFI, JPOFFGDRKIKRGJVWGILTLYLROHXCAQCYDOOEJRVJVRGHHOHAWBFVYSHRYAIFPOVZXKKDSFXRLWQSOGSCLKOASDPRNUKKZHXJOGHK
JKOMDGCTBMZMVNWWAWZQEIKXGIRPMNNTBHIIWGRNTKYCSXFFXRNUORKAWFCCQJKMORYEYDXTDWXBVQMDNBIQKJWIOSWLLXSKJKITAF, OPTRILHYGRERASBBFBEVJNPCLNWURSSYGMNNBLWSYPDHXCKKCWSZTWPFBKHHVOPRTWDJDICYIBCGAVRISGNVPOBNTXBQQCXPOPNYFK
UCHIPVZMPSXUYCOXCGRDUQ, SAFGNTXKNQVSWAMVAEPBSO
OIYRPUOHVOUCPQNOHBBZLYQQ, LFVOMRLESLRZMNKLEYYWIVNN
CJYWGIAEIDPKAVHTKALXPQLGLAJMTTIRMEFKMYALJSBUGIZDCSKIFKKQQWYVWEVVTXHDLUVTNJNHMWQUNGLAHGKRMQBVHQOZUBIICMSMANTLGZQQXBKJNF, DKZXHJBFJEQLBWIULBMYQRMHMBKNUUJSNFGLNZBMKTCVHJAEDTLJGLLRRXZWXFWWUYIEMVWUOKOINXRVOHMBIHLSNRCWIRPAVCJJDNTNBOUMHARRYCLKOG
SZCYMKHMAPPLBUCSZXHRIODGOKYAVTUKSARXKXJJAGUKMRHCWXRAPOJPLELUPJFONAQIRBTWHTYPWOHQIXFA, ELOKYWTYMBBXNGOELJTDUAPSAWKMHFGWEMDJWJVVMSGWYDTOIJDMBAVBXQXGBVRAZMCUDNFITFKBIATCUJRM
ZPHNSZWHOWBOFQBCBXKLINLMQIVEBFVDXEDIZMTACLJXQYMXEXOXYNHCDOGNMMATVTTNTEPTGKVXVVQKOBAARJX, DTLRWDALSAFSJUFGFBOPMRPQUMZIFJZHBIHMDQXEGPNBUCQBIBSBCRLGHSKRQQEXZXXRXITXKOZBZZUOSFEEVNB
PTKHVEENDEOYEAIFEBJGGAARNPEPNYMYATFWIJCZNNSRKZTHBPRDBENPIMBNZOLSRN, NRIFTCCLBCMWCYGDCZHEEYYPLNCNLWKWYRDUGHAXLLQPIXRFZNPBZCLNGKZLXMJQPL
ZPZFTDNYLLNDVGSVGNIWFQTQNQSQOOTTJPRRZOBSUOBJHFDGWEFMYNQZBVYDYJUMHVLNMVRVFZZYDCQQEEMFWTKREBO, LBLRFPZKXXZPHSEHSZUIRCFCZCECAAFFVBDDLANEGANVTRPSIQRYKZCLNHKPKVGYTHXZYHDHRLLKPOCCQQYRIFWDQNA
JHOKHRQNVKWYJGZEPVOIQFGPLBEBJJLGSHIUXUYHDHLSOKSNOAEABTVEEFCJBBMBXMPBTPGQRBOGJBMOK, LJQMJTSPXMYALIBGRXQKSHIRNDGDLLNIUJKWZWAJFJNUQMUPQCGCDVXGGHELDDODZORDVRISTDQILDOQM
CZHKNPFXKPMACZBRQUQUUGPPYKXRGILROGXZISKCHAXRUJGTCGGKBMNUDXFPYXO, EBJMPRHZMROCEBDTSWSWWIRRAMZTIKNTQIZBKUMEJCZTWLIVEIIMDOPWFZHRAZQ
TWTRNPYMYDZLXCDPHQKKDUFCSUQOZPEKJVEYFHSPTBYTOHNFFKBPULZNMJRPVGSYFUBIRGSYJPYDZ, ZCZXTVESEJFRDIJVNWQQJALIYAWUFVKQPBKELNYVZHEZUNTLLQHVARFTSPXVBMYELAHOXMYEPVEJF
YYKXORJYXZOYMYNFOBTYWHZRQHHICLKNOIARAZZKFVUGUUMVVUFOFK, AAMZQTLAZBQAOAPHQDVAYJBTSJJKENMPQKCTCBBMHXWIWWOXXWHQHM
KOWRCQOUDISWRKOCJCBSOMQTVEIJGWXAWPPLGAIZMXFHZIAYGUUYX, YCKFQECIRWGKFYCQXQPGCAEHJSWXUKLOKDDZUOWNALTVNWOMUIIML
RREWRCMNBPNSPNUNBLRWTHDJSPSNHKWBQVWJHSBBKIRCXPGSTUJDEDGUUIDOGSPARSWWCVVEKIPRISEWSNKGTOHIOKHEZWIUMYJKYLIRLGNJSEPQOVYJVMH, NNASNYIJXLJOLJQJXHNSPDZFOLOJDGSXMRSFDOXXGENYTLCOPQFZAZCQQEZKCOLWNOSSYRRAGELNEOASOJGCPKDEKGDAVSEQIUFGUHENHCJFOALMKRUFRID
ZQFFNPEHPYNSTKFBFIOQGUW, QHWWEGVYGPEJKBWSWZFHXLN
PQMPRHDPSVXGSXXGBWSUBZVKGKWHTDOWNWCOLLWKLOOLZMHPMFXGX, MNJMOEAMPSUDPUUDYTPRYWSHDHTEQALTKTZLIITHILLIWJEMJCUDU
ALBIQBVAKQMVAMDJOKFLGTAQLLIFOOBNTEXNCCFJEWZERQFADFOBYIKEGASVBFKGPOCNJVKVZMGUDFCELYIEJTBJNKAZUDMYGCWETU, QBRYGRLQAGCLQCTZEAVBWJQGBBYVEERDJUNDSSVZUMPUHGVQTVEROYAUWQILRVAWFESDZLALPCWKTVSUBOYUZJRZDAQPKTCOWSMUJK
ORUOEAKBXIFMNSDSYUXIBBEXW, EHKEUQARNYVCDITIOKNYRRUNM
TSBHTPYBIRGEXQDDFNEZOJLZTEJYVNHULOX, LKTZLHQTAJYWPIVVXFWRGBDRLWBQNFZMDGP
IXRUEUMNFEZGKNNMBXVNIAKBRFRXETRRVVOPKDHHHBCWNFZJSPCKAFBXJMGMSIHBPAAAKLLYWHDIZZOWTRMLTPBEQXBVGYLYGVMJCBIQEEJRWBQGSQOFRBCXSJFWCX, WLFISIABTSNUYBBAPLJBWOYPFTFLSHFFJJCDYRVVVPQKBTNXGDQYOTPLXAUAGWVPDOOOYZZMKVRWNNCKHFAZHDPSELPJUMZMUJAXQPWESSXFKPEUGECTFPQLGXTKQL
VJSMVTUZFXVIAAKHUZOHQJPGLPDIIBOCENOPMCPUGXWSKWSSEUTUYKN, MAJDMKLQWOMZRRBYLQFYHAGXCGUZZSFTVEFGDTGLXONJBNJJVLKLPBE
WYYIQADZSYARSIKYPEIYLSOFYNPIDFAALYSTVKUVQMGRIK, NPPZHRUQJPRIJZBPGVZPCJFWPEGZUWRRCPJKMBLMHDXIZB
NKMHZSIYPMWHZFDGRPPAMWOIWTLHNZRGVSYOPMASJQKTKKTMZERNOSVMDDSLENHZHAZAVOBGJIECNCHOJNFQEFQTARRNYLELAJTVFVMAJIMCCJDDOXPLZ, AXZUMFVLCZJUMSQTECCNZJBVJGYUAMETIFLBCZNFWDXGXXGZMREABFIZQQFYRAUMUNMNIBOTWVRPAPUBWASDRSDGNEEALYRYNWGISIZNWVZPPWQQBKCYM
WKGHYFSVNSWVGWJAYEDSXPDNVBVZIOBFUWSRMVEBQRGJPLONVCN, FTPQHOBEWBFEPFSJHNMBGYMWEKEIRXKODFBAVENKZAPSYUXWELW
IOPHSWFFOQNRLFSATTEFEPYJWGGAIHKHMGRIBVWRREUPKLVGSWYPDULBFSWKLHIMQRZKMUDHFBRTGQMQNTAMHYNWWYTQNKDHENNJHNZCWFSLHMSBIFBESBFYN, VBCUFJSSBDAEYSFNGGRSRCLWJTTNVUXUZTEVOIJEERHCXYITFJLCQHYOSFJXYUVZDEMXZHQUSOEGTDZDAGNZULAJJLGDAXQURAAWUAMPJSFYUZFOVSORFOSLA
PGCPEELIYL, SJFSHHOLBO
MWCRHOFCNSFXKDJRYVHWYSHEREKPFDUCOCDWYQZVR, YIODTAROZERJWPVDKHTIKETQDQWBRPGOAOPIKCLHD
WXCJUEVQQEZDZFVKZKHNWGXMLPPHMCLGGJKHKIJD, GHMTEOFAAOJNJPFUJURXGQHWVZZRWMVQQTURUSTN
XTWOTPEGPTAYSGSIALHWIDVPGFAWSNSBHXEPNIVNUOZELWCMREKKNMOFNOJLRTGKQVSIZPQQHFTZHMUGCQU, FBEWBXMOXBIGAOAQITPEQLDXONIEAVAJPFMXVQDVCWHMTEKUZMSSVUWNVWRTZBOSYDAQHXYYPNBHPUCOKYC
MZLYWUANTBZFLYWJDGTDGOPSTUPWSRKFUUSSGRWODTKFHLENSLKF, NAMZXVBOUCAGMZXKEHUEHPQTUVQXTSLGVVTTHSXPEULGIMFOTMLG
PLGGDXICAHUWHOVMAVCPHSZPHLMAJNRLOKHOZFWLAPACIBFLQZRMNDWXRHCELBMTSJAUVPUPJJJOKC, OKFFCWHBZGTVGNULZUBOGRYOGKLZIMQKNJGNYEVKZOZBHAEKPYQLMCVWQGBDKALSRIZTUOTOIIINJB
QQGPLJMPJBNNXKHBLRMNNPEWSMQMWVEWEBUEHWZOMDTJXNGVYNQEBQYNSBWAZYPRORHZNCTQJYVJJUSSSRJBOHJAYACFOIUYONUOAHSDLWTDPKLPWMHCYHFZOBMOT, PPFOKILOIAMMWJGAKQLMMODVRLPLVUDVDATDGVYNLCSIWMFUXMPDAPXMRAVZYXOQNQGYMBSPIXUIITRRRQIANGIZXZBENHTXNMTNZGRCKVSCOJKOVLGBXGEYNALNS
OCNBEEBTENQJTANRUBVVAHGIPVHAUOLDAZKETFNMMPRSHTVENJBJSXYXKTAEKJDFKIRJZFEHQALBKQDSNNOHXMDXMMMCYZRGXBCZEED, NBMADDASDMPISZMQTAUUZGFHOUGZTNKCZYJDSEMLLOQRGSUDMIAIRWXWJSZDJICEJHQIYEDGPZKAJPCRMMNGWLCWLLLBXYQFWABYDDC
QQKOSPNGTSCWWAKSQBTNKVAVZECHYKABXKFPBZSVOEIYWBAHIMVCYTSCAHEMUMYQQFVLQLKUUTVFAJFXTNDTZAZSSOZLBFWDAIIYFVEKXYOFJYVMXKBQ, XXRVZWUNAZJDDHRZXIAURCHCGLJOFRHIERMWIGZCVLPFDIHOPTCJFAZJHOLTBTFXXMCSXSRBBACMHQMEAUKAGHGZZVGSIMDKHPPFMCLREFVMQFCTERIX
XTWJFEXPFMOVGWPIBCLZBCPCFNJQHNGOSDUDDZYKJDQDZNQUDCMUWJRAMXQKQSEBPSPURUTMUEAUH, QMPCYXQIYFHOZPIBUVESUVIVYGCJAGZHLWNWWSRDCWJWSGJNWVFNPCKTFQJDJLXUILINKNMFNXTNA
CMVCMCSZKOGFKFNIBXYLIXJYEYO, PZIPZPFMXBTSXSAVOKLYVKWLRLB
UPZRROPBVJXUTDHBUGXXIBALAOEDHXJSWGRJGMNZXRXKZBMSDJXBVWHYKDRPMUCCMXWQBSPCTOHLHCWJZHZPGSCSNWDQYVQORVRQLZJ, XSCUURSEYMAXWGKEXJAALEDODRHGKAMVZJUMJPQCAUANCEPVGMAEYZKBNGUSPXFFPAZTEVSFWRKOKFZMCKCSJVFVQZGTBYTRUYUTOCM
DXTYIOMHIFKLQCVAQJCTFIVFGIZKDACOTNSIVZVQJHWKCTMJQYKONPVEUYOVRGDTZFHCABMGQZCCKQYMPZFCSYRLZLYUAEFDGQXRXLHWJQOYTMJBTNFHLOKAZKSGI, SMINXDBWXUZAFRKPFYRIUXKUVXOZSPRDICHXKOKFYWLZRIBYFNZDCEKTJNDKGVSIOUWRPQBVFORRZFNBEOURHNGAOANJPTUSVFMGMAWLYFDNIBYQICUWADZPOZHVX
IZKCFZIZLKBEBYOATVCLHELLB, PGRJMGPGSRILIFVHACJSOLSSI
KVXTPXZZRDRXFWYQWMDWCWFINBMVMPDCGOTPOBGYFFFFCQXVULFEDICTFDMFKTGNIJYQEWHLYNNVGIMYQDLVKQKZNOO, KVXTPXZZRDRXFWYQWMDWCWFINBMVMPDCGOTPOBGYFFFFCQXVULFEDICTFDMFKTGNIJYQEWHLYNNVGIMYQDLVKQKZNOO
RQYWQDFQBERFM, FEMKERTEPSFTA
VSRIFYUHHPGNCXHLSEWRVRIVUITYYBXGFYBTBPSEEIROEAWUMKBZUWELMSNXYNCTUUAHPAXFBOCSJMH, EBAROHDQQYPWLGQUBNFAEAREDRCHHKGPOHKCKYBNNRAXNJFDVTKIDFNUVBWGHWLCDDJQYJGOKXLBSVQ
EVSTATDDPBIXHETBNUMASIAAXMZEPZFXLTGTNEDKQLSJZOFANYMNIJGIFJILXRMRVEQHDMVZQOXNTCXKJBGRGWBZVOZKNWDNJEUUHFQDMQLMPYIYSPVDPHC, FWTUBUEEQCJYIFUCOVNBTJBBYNAFQAGYMUHUOFELRMTKAPGBOZNOJKHJGKJMYSNSWFRIENWARPYOUDYLKCHSHXCAWPALOXEOKFVVIGRENRMNQZJZTQWEQID
EODRIYUWFMSWHPHBEFFZEWTMQGQWSVKYLNOJHIRWGHUXJWJMDDFPTHLSFNCMLZDMIPGPFONVAEXUCTREAODSRSYANBAXLHZEAHWZZZIQ, TDSGXNJLUBHLWEWQTUUOTLIBFVFLHKZNACDYWXGLVWJMYLYBSSUEIWAHUCRBAOSBXEVEUDCKPTMJRIGTPDSHGHNPCQPMAWOTPWLOOOXF
WDKBPFNEWLQNKWTQVZLYVMHUIXFFXQMFWOLHYAZJCYKOWSWJGUYDDQWWIYTAQOXXFLDOJPYEXEPFRQYNPSJOZTHCVYBIXJCTQZXCFVHPUZPOZQURBJNIRUBOA, RYFWKAIZRGLIFROLQUGTQHCPDSAASLHARJGCTVUEXTFJRNREBPTYYLRRDTOVLJSSAGYJEKTZSZKAMLTIKNEJUOCXQTWDSEXOLUSXAQCKPUKJULPMWEIDMPWJV
BKMNCKITQRKBMBSIOWAEBRUDBTQCOEDCJFQCBFFVMCQVVTTKDNGLJOXFBWIYIE, LUWXMUSDABULWLCSYGKOLBENLDAMYONMTPAMLPPFWMAFFDDUNXQVTYHPLGSISO
GIQMRHYSISHTXWNNOKKDPJONWFEVYOVUSOXOCFBUDKIGJNCSNWHYDDVJYHUNJHSYNQGNMMCJJUGHYNYMZSDTUNZQJYRLTVTMWETHDSKQNPZLXBLCNUVDTNRDD, WYGCHXOIYIXJNMDDEAATFZEDMVULOELKIENESVRKTAYWZDSIDMXOTTLZOXKDZXIODGWDCCSZZKWXODOCPITJKDPGZOHBJLJCMUJXTIAGDFPBNRBSDKLTJDHTT
NHBPVQADVMGIHFIKTYRCOHOHRVKUDFQSZYSSLVMQ, AUOCIDNQIZTVUSVXGLEPBUBUEIXHQSDFMLFFYIZD
DHRZKZUCTDNJRFJOVUVBYFHVGDHLLKLPUHFGWAOXXTEEKQVLSOFHCFELRHCCZ, TXHPAPKSJTDZHVZELKLROVXLWTXBBABFKXVWMQENNJUUAGLBIEVXSVUBHXSSP
EYVLMKPTTYLXHONMOZGLVQSGVMENCDXCKEOHOMSSJSFRDDAJXPIWXTPPNVLZYJXEGMDXUZIWMSBLLYBUDQSJBFATBFBTZUUQTQQESBYBBAPWJQTAORXOHXWIIZLEZC, SMJZAYDHHMZLVCBACNUZJEGUJASBQRLQYSCVCAGGXGTFRROXLDWKLHDDBJZNMXLSUARLINWKAGPZZMPIREGXPTOHPTPHNIIEHEESGPMPPODKXEHOCFLCVLKWWNZSNQ
AAOWAQEWJDBHPDEIGDBVYTSDPWFNBYGCPAAHPXUZELZSVWIUNPYTRAOESAYBITVYQHFYVSKZKDWDFXTEZGURPGQBSZLVQXVFUYGHRMJWGASLBZOPBZTQAYIQTSU, WWKSWMASFZXDLZAECZXRUPOZLSBJXUCYLWWDLTQVAHVORSEQJLUPNWKAOWUXEPRUMDBUROGVGZSZBTPAVCQNLCMXOVHRMTRBQUCDNIFSCWOHXVKLXVPMWUEMPOQ
EBNEGCNHRDLDGVRXMPZGSQOUIBSLEZPPDXKWQJSJJGLPVRWXCJKPMHLGAADJGUXKEAXIJSKTAHQJLPDFIZKVTHOSRXKLKRRILOOLHTFJTIQUU, NKWNPLWQAMUMPEAGVYIPBZXDRKBUNIYYMGTFZSBSSPUYEAFGLSTYVQUPJJMSPDGTNJGRSBTCJQZSUYMORITECQXBAGTUTAARUXXUQCOSCRZDD
ZJKQKJRYPAKWRMTSWKQEJEWQAGJWSBFAMCHKIBZXDMUYXHCRST, SCDJDCKRITDPKFMLPDJXCXPJTZCPLUYTFVADBUSQWFNRQAVKLM
FMHQJHAGKZRWJPKBYMHGQDQDLLAQQGWOMOUGVLIKBTVHTXBPAQMMMGQEXSKGUGTTITMU, ZGBKDBUAETLQDJEVSGBAKXKXFFUKKAQIGIOAPFCEVNPBNRVJUKGGGAKYRMEAOANNCNGO
AEMTZMMUYLQZFSSLHFYHCUPSVCLMFEPMANSYTCF, GKSZFSSAERWFLYYRNLENIAVYBIRSLKVSGTYEZIL
QHSHQDBIOWLTXQXVW, VMXMVIGNTBQYCVCAB
LPJTOLPUGKWAPTTZRTLVULMUVSQQDANCJPKHEMUADGMCQORGONGF, TXRBWTXCOSEIXBBHZBTDCTUCDAYYLIVKRXSPMUCILOUKYWZOWVON
ECRTFRCBJTHGHMMGBZXGNBBEVAGUYKRWIDGBSAHPFDOBVEOAAKYRGFILSDXKZB, XVKMYKVUCMAZAFFZUSQZGUUXOTZNRDKPBWZULTAIYWHUOXHTTDRKZYBELWQDSU
SZWQQNJAZKHVXOBPPCCUWCFBDYYPIAQOPQIBBJPZLOKWJCVNXOGNKPHNNICMTQFSIEIQVKUFEMNJCVPDVHKWOV, SZWQQNJAZKHVXOBPPCCUWCFBDYYPIAQOPQIBBJPZLOKWJCVNXOGNKPHNNICMTQFSIEIQVKUFEMNJCVPDVHKWOV
ASFKGKATQJOBRIGFQMDHUTNZCBKDSXQYEPUIOOQGBWAEYRRXSNOZNRJQNKSBYUXPOAWMA, ASFKGKATQJOBRIGFQMDHUTNZCBKDSXQYEPUIOOQGBWAEYRRXSNOZNRJQNKSBYUXPOAWMA
USFPVVLONCNCVNVQTYEUBPZIGJUZDMZRXPRZAKTLREYOURHZMWMFNAHYAVAEUVPBFDDVHRRGFDSWPHHJBICWDZLFLVEPHWLUBFRIDFRHOUBHHZMAMNQIE, PNAKQQGJIXIXQIQLOTZPWKUDBEPUYHUMSKMUVFOGMZTJPMCUHRHAIVCTVQVZPQKWAYYQCMMBAYNRKCCEWDXRYUGAGQZKCRGPWAMDYAMCJPWCCUHVHILDZ
KMNPYVRQ, LNOQZWSR
OLXUHFJQYTHCTMLVAUMUPYYVBJRTPTGXGTBUQIHPVARYEEHHKZJWZFIARINDIJVJRUYR, FCOLYWAHPKYTKDCMRLDLGPPMSAIKGKXOXKSLHZYGMRIPVVYYBQANQWZRIZEUZAMAILPI
HQHNMKNEMBCLSNBHBTHJOQCIQLVJHVTH, CLCIHFIZHWXGNIWCWOCEJLXDLGQECQOC
QEYYXRPTRJXUJOIOKVXAUVCOLZTNZSROGFXYXJVLRDZZNXWQALTNNIIIDAGLZTWEDVJKKCEC, THBBAUSWUMAXMRLRNYADXYFROCWQCVURJIABAMYOUGCCQAZTDOWQQLLLGDJOCWZHGYMNNFHF
ASWGZTWSMXTRDASZXYAXTCFMZXJPLDCXGDKPBPSFQKVGVZHGOIBUJZFHLLVSJMREOEOFVEPKJBEWJVOUTBFWFMTQNJZGEKBDGLCCQZEFGADPEJLEMOW, SKOYRLOKEPLJVSKRPQSPLUXERPBHDVUPYVCHTHKXICNYNRZYGATMBRXZDDNKBEJWGWGXNWHCBTWOBNGMLTXOXELIFBRYWCTVYDUUIRWXYSVHWBDWEGO
OMMXHIBVESPCCVLFUGYBXPDTRFFDHMSCZYWLBVUKUSVLXFFQSCOLVQYGZCYURTCVZJALWORICBEDHBKZCFPMQJWIHSPYINHZYSEDVTHHGHEPKWXEUYONHNPLUCOQ, FDDOYZSMVJGTTMCWLXPSOGUKIWWUYDJTQPNCSMLBLJMCOWWHJTFCMHPXQTPLIKTMQARCNFIZTSVUYSBQTWGDHANZYJGPZEYQPJVUMKYYXYVGBNOVLPFEYEGCLTFH
TSKBCVWWCABKPHCOECLEZZWAWODKUKRNQWMFGJSJQXCVJCQVXLZMCKWRUXGUZUQPGSNVJPLLCARSPBTAQIOIGAGUXXBIJZPZMCQAEYJBFALTBF, FEWNOHIIOMNWBTOAQOXQLLIMIAPWGWDZCIYRSVEVCJOHVOCHJXLYOWIDGJSGLGCBSEZHVBXXOMDEBNFMCUAUSMSGJJNUVLBLYOCMQKVNRMXFNR
KUGPZIAEEHQFAPNLWGOQPEYJSLEYCEHIEEBOEDJTNWZTTRNZLRFYPAQKOKZCYKJFSVWEBAPYIWMQRDMZIQRWAXCSSJ, HRDMWFXBBENCXMKITDLNMBVGPIBVZBEFBBYLBAGQKTWQQOKWIOCVMXNHLHWZVHGCPSTBYXMVFTJNOAJWFNOTXUZPPG
TOVRHBULCLGQMMSMDWEXLBRYGRTSLMBTNXLTGWEAGOMIUMWKHICWAPZLYSVBDNRMKPKJFJVSUGWLXODXXZVFTBGKMFSM, NIPLBVOFWFAKGGMGXQYRFVLSALNMFGVNHRFNAQYUAIGCOGQEBCWQUJTFSMPVXHLGEJEDZDPMOAQFRIXRRTPZNVAEGZMG
EFKQWQBZGXWKWIREMPTSDKUPNYMFUWBHREYST, RSXDJDOMTKJXJVERZCGFQXHCALZSHJOUERLFG
XCGRXEKMGUOYSRHLGYFDHWABGZSBMZXZRMSRWBQJLRUKBNRCKZHQNQAFFQHMHXBFHARBGIOHUXBQLXHJZXCWUSLZXALCWVRDXXBOJJSMKNVHNHPNUSU, KPTEKRXZTHBLFEUYTLSQUJNOTMFOZMKMEZFEJODWYEHXOAEPXMUDADNSSDUZUKOSUNEOTVBUHKODYKUWMKPJHFYMKNYPJIEQKKOBWWFZXAIUAUCAHFH
YYHNQTTMBUDFFSVDQELUNTBNTIEZBVJJZMQYPJWBEETJEKN, YYHNQTTMBUDFFSVDQELUNTBNTIEZBVJJZMQYPJWBEETJEKN
CRQTGYZDMVBCCJCTPKIEIFFTGOAJQUVGMBVHH, CRQTGYZDMVBCCJCTPKIEIFFTGOAJQUVGMBVHH
PYUDTHQKSYFNIUYEFVC, AJFOESBVDJQYTFJPQGN
SUUECDCYJAVCIONZMIFJLGWYVUFQDQDKKGPLWLZVSXMSUWHJIHEMOAHAXDGSWZWHXQPGDBSV, VXXHFGFBMDYFLRQCPLIMOJZBYXITGTGNNJSOZOCYVAPVXZKMLKHPRDKDAGJVZCZKATSJGEVY
SKXGEIBUFGRGVYCIZPWDYPQJCBANPKRNGPGCPAKKUBJMAUFOTLYDWTSZEDMFNQKENGADYHHGBFLXGBHAOFBBVRLZQPMXCHUPKDMOTBXMYRMFYKSN, EWJSQUNGRSDSHKOULBIPKBCVONMZBWDZSBSOBMWWGNVYMGRAFXKPIFELQPYRZCWQZSMPKTTSNRXJSNTMARNNHDXLCBYJOTGBWPYAFNJYKDYRKWEZ
BKQZXZTNKBZTJIXIQSVRTFMZSSPWOSTSKUWJYFYHNLIBCRZPQXXMLVMLSHRMVTXCVZASLVUFEDJULQAHQJUVQNPJEG, TCIRPRLFCTRLBAPAIKNJLXERKKHOGKLKCMOBQXQZFDATUJRHIPPEDNEDKZJENLPUNRSKDNMXWVBMDISZIBMNIFHBWY
BVGMVJXQXIFXZBEATTWOGQYYOMXWZARYSKKRVKBU, HBMSBPDWDOLDFHKGZZCUMWEEUSDCFGXEYQQXBQHA
AJLUGWEBYZSSXXJXQPKSDMRGBOGHPGXNXVIWEAPCBZLXKITCPOPXHJRONKFYJSLQJFBVPOAHLHONZQZSFPSJIPWHJERWEEKCPOZPINWOYVCXGP, DMOXJZHEBCVVAAMATSNVGPUJERJKSJAQAYLZHDSFECOANLWFSRSAKMURQNIBMVOTMIEYSRDKOKRQCTCVISVMLSZKMHUZHHNFSRCSLQZRBYFAJS
CXMKBZAANNXPLLLBUJXLTMUYBWQHAHVYKRSETOUHQKLOEVDDWRDJPLLQLDJYSHVZWMGCFTNZXOPOQFUBDLVDVAFNMIMMABLM, NIXVMKLLYYIAWWWMFUIWEXFJMHBSLSGJVCDPEZFSBVWZPGOOHCOUAWWBWOUJDSGKHXRNQEYKIZAZBQFMOWGOGLQYXTXXLMWX
XXZMOAXWMHW, QQSFHTQPFAP
AOGWVUFLVEMBOFXFKCPSIGAEDIZOFSRCNXKIKOBUBMSSMAEBFEQBEKNKCABWBCNWZWFQSWNYCAOIEDZMRF, BPHXWVGMWFNCPGYGLDQTJHBFEJAPGTSDOYLJLPCVCNTTNBFCGFRCFLOLDBCXCDOXAXGRTXOZDBPJFEANSG
ICOAISRLECJRGBGSJPPETLWUJKXNFXRGSFKIUZHDXDVQVAHLHICJQAGSRXTLMXCFAZAFIPGPQCEFMZVVGGQXGBAENBYGMHFMQAPROACEHNNSDSWLMOWOCYPBTPFXT, WQCOWGFZSQXFUPUGXDDSHZKIXYLBTLFUGTYWINVRLRJEJOVZVWQXEOUGFLHZALQTONOTWDUDEQSTANJJUUELUPOSBPMUAVTAEODFCOQSVBBGRGKZACKCQMDPHDTLH
CGKYHEATWWNIVALQNTUFJQPOEARNKXZOYQNAAUJOMNWMWBXIOTUTDKIJE, OSWKTQMFIIZUHMXCZFGRVCBAQMDZWJLAKCZMMGVAYZIYINJUAFGFPWUVQ
FLVYDIJUNBCIIMLBMKZUEQGLVDFDLJATULRGNWWRMHWUHKUQTXPVHITDDCNEELMAEPTWTKSLOTBMJEENVCYGIATNEHMWSUTOTDSBHJBWUJBFTA, BHRUZEFQJXYEEIHXIGVQAMCHRZBZHFWPQHNCJSSNIDSQDGQMPTLRDEPZZYJAAHIWALPSPGOHKPXIFAAJRYUCEWPJADISOQPKPZOXDFXSQFXBPW
MUPOVGTZTEIRUMCGXYRLPG, PXSRYJWCWHLUXPFJABUOSJ
GLHHKOVLJTBDENKAPWRUYLBMQZDNNVXKVYZTKPLMVTLTWTKMZNGSVVSCWPXJJQIRTYZTKBCHUFI, QVRRUYFVTDLNOXUKZGBEIVLWAJNXXFHUFIJDUZVWFDVDGDUWJXQCFFCMGZHTTASBDIJDULMREPS
LBQMAQDEJKOBBTMBTHJRTFWMLCYSWOAMNNRVJZANRGQKGEESQJLCXELDHGZCEPXGSDGSOFFKGMMKIFBCWLTCHUCWTRXAODXHEDCUAVWRBVCEFUSEI, BRGCQGTUZAERRJCRJXZHJVMCBSOIMEQCDDHLZPQDHWGAWUUIGZBSNUBTXWPSUFNWITWIEVVAWCCAYVRSMBJSXKSMJHNQETNXUTSKQLMHRLSUVKIUY
ZGIOPBDDILXOFPRZVGJIAHPPPGFSULATBWXLTJOEXZPXUNVA, QXZFGSUUZCOFWGIQMXAZRYGGGXWJLCRKSNOCKAFVOQGOLEMR
QZPAVGIUIWAZPANOQVDYDSTQDZRVJ, VEUFALNZNBFEUFSTVAIDIXYVIEWAO
AZYFAWBFVFOBPQVKTHNRIFQFMARXRSEMRKMFAOATRFOVNSSLHBMZLNNXMQFFWQJTELEAGSZLMWNYWMVEGFQSPPPYLCYOOWNOCKYUSMZTPFBNFPNWFPVUJMUVSYWQEU, KJIPKGLPFPYLZAFUDRXBSPAPWKBHBCOWBUWPKYKDBPYFXCCVRLWJVXXHWAPPGATDOVOKQCJVWGXIGWFOQPACZZZIVMIYYGXYMUIECWJDZPLXPZXGPZFETWEFCIGAOE
WHDJNHJOPWANATXHXHKHHDPJFOJVNDQJTNGMVMUMKNPXZDCHKKFIVLF, UFBHLFHMNUYLYRVFVFIFFBNHDMHTLBOHRLEKTKSKILNVXBAFIIDGTJD
